Name,Role,Site,Phone,Email,Shift,Notes
Tina Davis,Lifeguard,Loon Hollow,(555) 094-2482,tina.davis@kvlcamps.org,Overnight,
Nicholas Barnes,Swim Instructor,Heron Landing,(555) 073-6905,nicholas.barnes@kvlcamps.org,Day,
Kevin Thompson,Waterfront Director,Tamarack Ridge,(555) 039-2366,kevin.thompson@kvlcamps.org,Overnight,
Theodore Walton,Shift Supervisor,Heron Landing,(555) 061-9096,theodore.walton@kvlcamps.org,Overnight,
Matthew Morales,Swim Instructor,Heron Landing,(555) 069-2116,matthew.morales@kvlcamps.org,Day,
Haley Bradford,Swim Instructor,Bluegill Point,(555) 076-7170,haley.bradford@kvlcamps.org,Day,
Julie Taylor,Shift Supervisor,Otter Run,(555) 053-4919,julie.taylor@kvlcamps.org,Day,
Jose Bennett,Swim Instructor,Bluegill Point,(555) 076-7372,jose.bennett@kvlcamps.org,Overnight,
Richard Morgan,Lifeguard,Bluegill Point,(555) 068-7052,richard.morgan@kvlcamps.org,Day,
Roberto Steele,Shift Supervisor,Bluegill Point,(555) 097-5790,roberto.steele@kvlcamps.org,Overnight,
Tiffany Price,Waterfront Director,Corrigwell,(555) 050-9097,tiffany.price@kvlcamps.org,Overnight,
Douglas House,Lifeguard,Bluegill Point,(555) 083-3516,douglas.house@kvlcamps.org,Overnight,
Robert Waller,Waterfront Director,Heron Landing,(555) 040-3354,robert.waller@kvlcamps.org,Overnight,
Megan Richardson,Shift Supervisor,Corrigwell,(555) 043-2016,megan.richardson@kvlcamps.org,Day,
Eugene Case,Swim Instructor,Bluegill Point,(555) 066-7441,eugene.case@kvlcamps.org,Day,
Sharon Ford,Shift Supervisor,Corrigwell,(555) 067-3702,sharon.ford@kvlcamps.org,Overnight,
Julie Hernandez,Waterfront Director,Bluegill Point,(555) 041-4225,julie.hernandez@kvlcamps.org,Overnight,
David Thomas,Shift Supervisor,Corrigwell,(555) 055-8672,david.thomas@kvlcamps.org,Overnight,
Rebekah Munoz,Swim Instructor,Corrigwell,(555) 036-6377,rebekah.munoz@kvlcamps.org,Overnight,
Justin Liu,Swim Instructor,Corrigwell,(555) 067-4809,justin.liu@kvlcamps.org,Day,
Alexander Long,Swim Instructor,Bluegill Point,(555) 040-6925,alexander.long@kvlcamps.org,Overnight,
Jose Hayes,Swim Instructor,Bluegill Point,(555) 060-2111,jose.hayes@kvlcamps.org,Day,
Ruth Adams,Waterfront Director,Loon Hollow,(555) 043-5770,ruth.adams@kvlcamps.org,Overnight,
Jamie Wong,Lifeguard,Heron Landing,(555) 012-3324,jamie.wong@kvlcamps.org,Day,
Jason Gomez MD,Boating Instructor,Loon Hollow,(555) 038-4383,jason.md@kvlcamps.org,Day,
Erin Hebert,Shift Supervisor,Tamarack Ridge,(555) 030-7378,erin.hebert@kvlcamps.org,Overnight,
Charles Gill,Swim Instructor,Corrigwell,(555) 039-2018,charles.gill@kvlcamps.org,Overnight,
Jerry Hall,Boating Instructor,Tamarack Ridge,(555) 040-7626,jerry.hall@kvlcamps.org,Day,
David Wang,Shift Supervisor,Otter Run,(555) 083-3027,david.wang@kvlcamps.org,Overnight,
Heidi Reynolds,Swim Instructor,Otter Run,(555) 031-7748,heidi.reynolds@kvlcamps.org,Overnight,
Barry Harris,Lifeguard,Heron Landing,(555) 016-1308,barry.harris@kvlcamps.org,Overnight,
David Hickman,Shift Supervisor,Otter Run,(555) 025-9819,david.hickman@kvlcamps.org,Day,
Jeffrey Navarro,Swim Instructor,Corrigwell,(555) 028-2671,jeffrey.navarro@kvlcamps.org,Overnight,
Brenda Willis,Boating Instructor,Loon Hollow,(555) 019-2869,brenda.willis@kvlcamps.org,Overnight,
Seth Clark,Boating Instructor,Otter Run,(555) 029-5822,seth.clark@kvlcamps.org,Overnight,
Kimberly Carr,Boating Instructor,Bluegill Point,(555) 048-3499,kimberly.carr@kvlcamps.org,Overnight,
Brooke Gomez,Shift Supervisor,Otter Run,(555) 086-8866,brooke.gomez@kvlcamps.org,Overnight,
Dr. Craig Rivera,Waterfront Director,Bluegill Point,(555) 013-1848,dr.rivera@kvlcamps.org,Day,
Timothy Johnson,Boating Instructor,Heron Landing,(555) 033-5553,timothy.johnson@kvlcamps.org,Day,
Steven Sutton,Lifeguard,Tamarack Ridge,(555) 093-9233,steven.sutton@kvlcamps.org,Day,
Tina Bentley,Waterfront Director,Bluegill Point,(555) 087-7117,tina.bentley@kvlcamps.org,Day,
Melissa Rojas,Shift Supervisor,Otter Run,(555) 073-6181,melissa.rojas@kvlcamps.org,Overnight,
Albert Dunn,Swim Instructor,Corrigwell,(555) 057-3338,albert.dunn@kvlcamps.org,Day,
Thomas Mitchell,Shift Supervisor,Tamarack Ridge,(555) 018-5751,thomas.mitchell@kvlcamps.org,Day,
Brian Smith,Boating Instructor,Tamarack Ridge,(555) 081-2081,brian.smith@kvlcamps.org,Overnight,
Robert Ferguson,Lifeguard,Heron Landing,(555) 065-7220,robert.ferguson@kvlcamps.org,Day,
Lauren Moore,Lifeguard,Bluegill Point,(555) 098-2894,lauren.moore@kvlcamps.org,Day,
Mandy Watson,Waterfront Director,Corrigwell,(555) 088-8504,mandy.watson@kvlcamps.org,Overnight,
