Camper ID,Last Name,First Name,Age,Unit,Session,Classification,Test Date,Test Location,Assessor,Band Color,Buddy Group,Prior Season Band,Notes
C26-0001,Jones,Kayla,11,Oak,Session 1,Swimmer,2026-06-25,Bluegill Point swim area,A. Priestly,Green,B-89,Beginner,
C26-0002,Adams,David,15,Elm,Session 1,Nonswimmer,2026-06-22,Bluegill Point swim area,C. Yee,Red,B-222,,
C26-0003,Preston,Daniel,6,Glen,Session 1,Swimmer,2026-06-24,Bluegill Point swim area,A. Priestly,Green,B-310,,
C26-0004,Jones,John,12,Maple,Session 1,Swimmer,2026-06-26,Bluegill Point swim area,D. Lammers,Green,B-382,Nonswimmer,
C26-0005,Powers,Gregory,6,Ash,Session 1,Nonswimmer,2026-06-26,Bluegill Point swim area,D. Lammers,Red,B-108,Swimmer,
C26-0006,Molina,Zachary,12,Dogwood,Session 1,Nonswimmer,2026-06-25,Bluegill Point swim area,M. Deleva,Red,B-45,Beginner,
C26-0007,Jackson,Eric,7,Maple,Session 1,Beginner,2026-06-25,Bluegill Point swim area,J. Kim,Yellow,B-187,Beginner,
C26-0008,Erickson,Isaac,13,Oak,Session 1,Beginner,2026-06-25,Bluegill Point swim area,R. Wexler,Yellow,B-211,,
C26-0009,Hickman,Natalie,12,Maple,Session 1,Swimmer,2026-06-25,Bluegill Point swim area,C. Yee,Green,B-164,,
C26-0010,Cross,Donna,9,Sumac,Session 1,Beginner,2026-06-26,Bluegill Point swim area,J. Kim,Yellow,B-20,,
C26-0011,Stevenson,Omar,12,Ironwood,Session 1,Swimmer,2026-06-26,Bluegill Point swim area,R. Wexler,Green,B-203,Nonswimmer,
C26-0012,Sawyer,Lauren,13,Maple,Session 1,Nonswimmer,2026-06-22,Bluegill Point swim area,D. Lammers,Red,B-76,,
C26-0013,Hall,Jasmine,15,Willow,Session 1,Swimmer,2026-06-25,Bluegill Point swim area,M. Deleva,Green,B-271,Nonswimmer,
C26-0014,Hernandez,Connie,9,Elm,Session 1,Nonswimmer,2026-06-26,Bluegill Point swim area,A. Priestly,Red,B-158,Beginner,
C26-0015,Gates,Brandon,13,Hemlock,Session 1,Swimmer,2026-06-24,Bluegill Point swim area,M. Deleva,Green,B-288,Beginner,
C26-0016,Alvarez,Zachary,14,Pine,Session 1,Swimmer,2026-06-24,Bluegill Point swim area,C. Yee,Green,B-139,,
C26-0017,Smith,Heather,14,Laurel,Session 1,Beginner,2026-06-26,Bluegill Point swim area,M. Deleva,Yellow,B-277,,
C26-0018,Simpson,Jessica,15,Elm,Session 1,Swimmer,2026-06-24,Bluegill Point swim area,J. Kim,Green,B-380,Nonswimmer,Retest passed 2026-07-13
C26-0019,Garcia,Stephanie,14,Ash,Session 1,Nonswimmer,2026-06-23,Bluegill Point swim area,C. Yee,Red,B-254,,
C26-0020,Griffith,Charles,10,Oak,Session 1,Swimmer,2026-06-23,Bluegill Point swim area,C. Yee,Green,B-283,Swimmer,
C26-0021,Daugherty,Allen,14,Juniper,Session 1,Swimmer,2026-06-22,Bluegill Point swim area,C. Yee,Green,B-375,,
C26-0022,Watkins,Gary,13,Hemlock,Session 1,Beginner,2026-06-24,Bluegill Point swim area,J. Kim,Yellow,B-8,,
C26-0023,Jackson,Jeff,10,Glen,Session 1,Swimmer,2026-06-23,Bluegill Point swim area,J. Kim,Green,B-47,Beginner,
C26-0024,Collins,Heather,14,Maple,Session 1,Beginner,2026-06-26,Bluegill Point swim area,J. Kim,Yellow,B-303,,
C26-0025,Mercado,Timothy,11,Ironwood,Session 1,Swimmer,2026-06-22,Bluegill Point swim area,R. Wexler,Green,B-33,Swimmer,
C26-0026,James,Karen,6,Pine,Session 1,Beginner,2026-06-24,Bluegill Point swim area,C. Yee,Yellow,B-77,,
C26-0027,Leon,Jay,13,Juniper,Session 1,Beginner,2026-06-25,Bluegill Point swim area,R. Wexler,Yellow,B-204,,
C26-0028,James,William,6,Willow,Session 1,Nonswimmer,2026-06-24,Bluegill Point swim area,R. Wexler,Red,B-154,Swimmer,
C26-0029,Cannon,Kimberly,13,Ironwood,Session 1,Swimmer,2026-06-23,Bluegill Point swim area,J. Kim,Green,B-21,Beginner,
C26-0030,Mitchell,Cheryl,11,Cedar,Session 1,Beginner,2026-06-26,Bluegill Point swim area,C. Yee,Yellow,B-287,Swimmer,
C26-0031,Nolan,David,10,Ironwood,Session 1,Beginner,2026-06-24,Bluegill Point swim area,J. Kim,Yellow,B-43,Swimmer,
C26-0032,Collins,Sheila,14,Hemlock,Session 1,Nonswimmer,2026-06-24,Bluegill Point swim area,D. Lammers,Red,B-169,,
C26-0033,Smith,Duane,15,Willow,Session 1,Swimmer,2026-06-22,Bluegill Point swim area,C. Yee,Green,B-250,Nonswimmer,
C26-0034,Rowe,Christopher,12,Birch,Session 1,Beginner,2026-06-23,Bluegill Point swim area,C. Yee,Yellow,B-298,Nonswimmer,
C26-0035,King,Katie,9,Ironwood,Session 1,Swimmer,2026-06-25,Bluegill Point swim area,D. Lammers,Green,B-273,Nonswimmer,
C26-0036,Gould,David,14,Pine,Session 1,Nonswimmer,2026-06-23,Bluegill Point swim area,J. Kim,Red,B-58,,
C26-0037,Jones,Nicholas,15,Birch,Session 1,Beginner,2026-06-22,Bluegill Point swim area,J. Kim,Yellow,B-72,Nonswimmer,
C26-0038,Blackwell,Tara,7,Laurel,Session 1,Beginner,2026-06-26,Bluegill Point swim area,A. Priestly,Yellow,B-146,,Retest passed 2026-07-03
C26-0039,Rice,Rebecca,7,Juniper,Session 1,Beginner,2026-06-25,Bluegill Point swim area,J. Kim,Yellow,B-188,Swimmer,
C26-0040,Cunningham,Brian,13,Juniper,Session 1,Beginner,2026-06-22,Bluegill Point swim area,J. Kim,Yellow,B-32,,
C26-0041,Joseph,Katherine,10,Laurel,Session 1,Swimmer,2026-06-26,Bluegill Point swim area,J. Kim,Green,B-165,,
